HHF,G,Y,FADA,AA,HGD,AT,E,K,T,U,I,B,W,Q,SDE
0.203,0.3,0,0.181,0,9.744,0,0.61,0.76,3.53,2,0.92,0,0,0,1
0.149,0,0,0.298,0.43,2.955,0,0.43,0,0,1.74,0,0,1.31,3.49,1
0,0,0,0.193,0,1.181,0,0.25,0,0,0.25,0,0,0,0,0
0.597,0,0,0.298,0,3.333,0,0,0,0,3.17,0,0,3.17,0,1
0.505,0.37,0,1.199,0,3.337,0,0.37,0,2.61,1.49,0.37,0.37,0,1.49,1
0,0,0,0,0,1.837,1.13,0,0,0,0,0,0,0,0,0
0.088,0,0,0,0,6.718,0,1.01,0,0,0,0,0,0,0,1
0.005,0,0.56,0,0.01,3.364,0,0.09,0,0.01,0.05,0.16,0.05,0,0.01,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.067,0.15,0,0.698,0,5.101,0,0.45,0,0.45,2.75,0.61,0,0,0.61,1
0,0,0,0,0,1.085,0,1.36,0,0,0,0,0,0,0,0
0.273,0.62,0,0.456,0,2.52,0,1.25,0,0,2.51,0,0,0.62,0.62,1
0.054,0,0,0.337,0,3.502,0,1.13,0.08,0,2.01,0.16,0,0,1.13,1
0,0,8.69,0,4.34,3.1,0,0,0,0,0,0,0,0,0,0
0.161,0.05,0,0.02,0,2.093,0,1.43,0.05,0.23,1.03,0.05,0,0.74,0.69,1
0,0,2.97,0,0,1.736,0,0,0,0,0,0,0,0,0,0
0.103,0.6,0,0.619,0,6.166,0,0.6,0,0,1.21,0,0,0,0,1
0.16,0,0,0.16,0,2.128,0,0.19,0.39,0,0.78,0,0.39,0.19,0.19,1
0,0,0,0.243,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0
0.141,2.94,0,0.425,0,140,0,0,1.47,1.47,4.41,1.47,0,0,2.94,1
0,0,0,0.969,0,2.179,0,0,1.02,0,1.02,0,0,1.02,0,1
0,0,0,0,0,1.49,0,2.16,0,0,0.54,0,0,0,1.08,1
3.125,0,0,0,0,2.411,0,0,0,0,0,0,0,0,0,1
0.135,0.73,0,0.432,0,8.445,0.09,0.73,0.27,0.18,0.64,0.83,0.18,0.55,0,1
0.342,0.14,0,0.045,0,14.88,0,0,0.84,2.53,1.12,0.42,0.14,0.84,0.28,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.228,0.49,0,0.241,0,6.544,0,0.41,0.24,0.16,1.07,0.65,0.24,0.9,0.08,1
0.504,0,0,0.458,0,2.934,0,0,0,0,0.27,0,0.27,0.27,0,1
0,0,1.61,0,0,1.913,0,1.61,0,0,0,0,0,0,0,0
0,0,0,0,0,3.5,0,0,0,0,1.92,0,0,0,0,0
0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.416,0.52,0,0,0,0,0,0,0,0,0
0.031,0,0,0.237,0,3.758,0,0.36,0,0,3.36,0.09,0,0.36,0,1
0.147,0,0.57,0.049,0,1.1,0,0,0,0,0.28,0,0,0,0,0
0.216,0.17,0,0.278,0,8.523,0,0.89,0.17,0.17,1.42,0,0,1.06,0.17,1
0,0,0,0,0,1.406,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10.533,0,0.94,0,0,2.83,0,0,0,0,1
0,0,6.64,0,0.83,4.257,0,0.27,0,0,0,0,0,0,0,0
0,0,0,0.441,0,2,0,0.75,0,0,0.75,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,2.152,0,5.21,0,0,0,0,0,0,0,0,0,1
0,0,0,0.271,0,3,0,0,0,0,0,0,0,0,0,0
0,0,3.63,0,1.21,4.536,0,0,0,0,1.21,0.6,0,0,0,0
0,2.18,0,0.471,0,15.08,0,1.09,0,0,1.09,0,0.54,0,0,1
0,0.65,0,0.091,0,2.687,0,0.65,0.65,5.22,1.3,0,0,0,1.3,1
0,0,0,1.123,0,1.3,0,0,0,0,0,0,0,0,0,0
0,0,4.08,0,2.04,2.5,0,2.04,0,0,0,0,0,0,0,0
0,0,0,0,0,5.888,0,0,2,0,8,0,0,0,0,0
0.218,0.28,0,0.218,0,3.694,0,0.57,0,0,2.01,0,0.28,1.44,0.57,1
0,0,0.93,0,0,2.448,0,0,0,0,0,0,0,0,0,0
0.338,0,0,0,0,1.666,0,0,0,0,0,0,0,0,0,1
0.734,0.04,0,0.311,0,5.328,0,0.04,0.23,0,1.36,0.4,0.28,0.97,0.4,1
3.26,0,0,0,0,2.444,0,0,0,0,0,0,0,0,0,1
0.082,0.08,0,0.55,0,15.547,0,0.08,0.08,0,0.57,0,0,0.16,0,1
0,0,0,0,0,1.464,0,0,0,0,0,0,0,0,0,0
0.093,0,1.39,0,0,2.744,0,0,0,0,0.69,0,0,0,0,0
0.212,0,0,0.424,0,4.125,0,0,0,0,0,0,0,0,0,1
0.121,0,0,0.121,0,2.61,0,0.81,0.2,0,0,0,0,0.6,0,1
0,0,0,0.056,0,5.8,0.45,0,0,0,0.9,0,0,0,0,0
0,0,0,0,0,3.304,1.09,0,0,0,0,0,0,0,0,0
0.011,0,1.18,0.029,0,2.813,0,0.1,0,0,0.2,0.17,0,0.03,0,1
0,0,0,2.413,0,3.384,0,0,0,0,1.35,0,0,0,0,1
0,0,1.17,0,2.35,4.476,0,0,0,0,2.35,0,0,0,0,0
0.519,0.13,0,0.445,0,6.029,0,0.13,0.3,0,1.42,0.54,0.4,0.37,0.44,1
0.261,0.08,0,0.358,0,3.554,0.08,0.26,0.26,0.17,1.3,0.52,0.26,0.08,0.34,1
0,0,0,0.11,0,1.083,0,2.83,0,0,2.12,0,0,0,0,1
0,0,0.79,0.149,0,1.482,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.13,0.36,0.73,0,0,0,0,0,0,0,1
0,0,0,0,0,2.652,1.16,0,0,0,0,0,0,0,1.16,1
0,0,0,0.179,0,3.702,0,2.48,0,0,3.72,0,0,0,0,1
0.429,1.03,0,0.6,0,1.447,0,1.03,0,0,1.55,0,1.03,0,0,1
0,0,3.19,0.168,0,1.75,0,0,0,0,0,0,0,0,0,0
0,0,0,0.443,0,4.652,0,0.94,0,0,2.83,0,0,0,0,1
0,0,0,0,0,1.6,0,0,1.47,0,0.73,0,0,0,0,1
0.157,0.32,0,0,0,1.494,0,0.64,0,0,3.24,0,0,0,0.32,1
0,0,0.53,0,0.53,2.241,0,0.71,0,0,0.17,0,0,0,0,0
0,0,0,0.786,0,3.728,0,0.34,0,0,1.04,0,0.69,0,0,1
0,0,0,0,0.7,17.952,0,0,0,0,1.4,0,0,0,0.7,0
0,2.1,0,0,0,2.695,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.96,1
0.063,0,3.23,0,0,2.121,0,0.26,0,0.59,0.06,0,0,0.39,0.52,0
0.168,0,0,1.687,0,57.23,0,0.47,0,0,5.18,0,0.94,0,0,1
0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0
0,0.23,1.64,0,0.7,2.42,0,0,0,0,0.23,0,0,0,0,0
0,0,0,0,0,1.416,0,0,0,0,1.92,0,0,0,0,1
0,0,0,0,0,1.333,1.02,0,0,0,2.04,0,0,0,0,0
0,0.36,0,0,0,6.685,0,1.44,0.72,0,2.17,0,0.36,0,0,1
0,0,0,0,0,2.284,16.7,0,0,0,0,0,0,0,0,0
0.479,0,0,0.319,0,6.11,0,0.15,0.31,0,1.36,0.58,0.46,0.46,0.42,1
0,0,4.89,0,0.27,4.608,0,0.27,0,0,0,0,0,0,0.54,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
0.208,0,0,0,0,4.23,0,0,0,0,5.19,0,0,0,0,1
0,0,2.77,0,1.38,2.333,0,0,0,0,1.38,0,0,0,0,0
0.023,0,3.3,0,0,1.878,0,0,0.16,0,0,0.08,0,0.24,0.41,0
0,0,0,0,1.04,1.071,0,0,0,0,0,0,0,0,0,0
0,0,0,0.125,0,1.25,0.65,0,0,0,0.65,0,0,0,0,0
0,4,0,0,0,8.166,0,0,0,0,0,0,0,0,0,1
0,0,0.27,0.045,0,1.465,0,0,0,0,0.54,0.27,0,0,1.64,0
0.078,0,3.45,0,0,2.351,0,0.11,0,0,0,0,0,0.11,0.11,0
0,0,0,0,0,1.733,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.5,3.983,0,0,0,0,0,0,0,0,0,0
0,0,3.47,0,0,1.8,0,0,0,0,0,0,0,0,0,0
0.123,0.81,0,0,0,4.793,0,0.81,0,0,0.81,0,0.4,0,0,1
0,0,1.4,0.229,1.4,2.653,0,0,0,0,1.4,0,0,0,0,0
0.33,1.12,0,1.32,0,5.135,0,2.25,0,0,1.69,0,0.56,0,2.82,1
0,0,0,0.167,0,1.5,0,0,0,0,0.86,0,0,0,0,0
0,0,0,0,0,2.692,0,0,0,0,1.49,0,0,0,0,1
0,0,0.75,0,0,4.446,0,0,0,0,4.02,0,0,0,0,0
0.033,0,0.62,0,0.12,3.211,0,0.12,0,0,0.24,1.11,0,0,0,0
0,0,0,0,3.33,1.3,0,0,0,0,0,0,0,0,0,0
0,0,1.29,0,1.29,1.857,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.68,1.488,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.27,2.215,0,1.27,0,0,0.63,0,0.63,0,0,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.665,0,0,0.221,0,3.812,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,3.137,0.83,0,0,0,0.83,0,0,0,0,0
0,0,0.14,0.021,0,1.715,0.14,0.14,0,0,0,0,0,0,0,0
0,0,0,0,1.81,1.181,0,0,0,0,0,0,0,0,0,0
0.216,0.77,0,0.185,0,1.948,0,1.55,0,0,0.38,0.19,0.19,0.19,0.58,1
0.012,0,0,0.012,0,2.057,0.59,0,0,0,0.25,0,0,0,0,0
0.752,0.16,0.33,0.884,0,5.328,0,0.33,0.16,0,0,0.5,0,0,0,1
0,0,0,0.048,0,5.802,0,0,0,0,0,0,0.27,0,0,0
0,0,0,0,1.08,1.263,0,0,0,0,1.08,0,0,0,0,0
0,0,0,0.147,0,2.587,0,0,0,0,1.23,0,0,0,0,0
0,0,0,0,0,2.333,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,3.33,0,0,0,0,0
0,0,0,0.709,0,2.09,0,0,0,0,0,0,4.16,0,0,0
0.056,0,2.01,0.031,0,1.83,0,0.04,0.2,0,0.41,0.16,0.04,0.12,0.04,0
0,0,0.87,0,0,2.941,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.314,0,0,0,0,1.31,0,0,0,0,0
0.16,0.1,0,0.336,0,6.758,0,0.4,0.4,4.26,1.72,0.2,0,0.4,0.2,1
0.059,0,0.38,1.008,0,589,0,1.14,0,0.76,0,0.38,0,0,0,1
0,0,0,0,0,2.307,0,0,0,0,1.88,0,0,0,0,1
0.156,0.1,0,0.297,0,6.8,0,0.4,0.4,4.26,1.72,0.2,0,0.4,0.2,1
0,0,1.31,0,0,1.638,0,0.49,0,0,0.16,0,0,0,0.32,0
0.167,0.06,0,0.01,0,1.736,0,1.57,0.06,0.24,1.09,0.06,0,0.85,0.72,1
0,0,0,0,0,1.166,1.92,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.936,0,0,0,0,0,0,0,0,0,0
0,0,1.11,0.32,1.86,1.923,0.37,0,0,0,0.37,0,0,0,0.37,0
0,0,1.79,0,0,1.988,0,0,0,0,0,0,0,0,0,0
0,0,0,0.106,0,2.714,0,0,0,0,0.64,0,0,0,0,0
0,0,2.18,0,0,3.533,0,0.54,0.54,0,0,0,0,0,0,0
0,0,0.64,0,0,1.677,0,0.32,0,0,0,0,0,0,0,0
0,0,0,0,0,2.465,1.8,0,0,0,0,0,0,0,0.6,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,5.55,0,2.77,3.25,0,0,0,0,0,0,0,0,0,0
0.161,0.05,0,0.01,0,2.051,0,1.44,0.05,0.23,1.09,0.05,0,0.74,0.69,1
0,0.45,0,0.135,0,5.571,0,1.36,0,0,0.9,0,0,0,0.45,1
0,0,0,0.09,0,1.466,1.04,0,0,0,0.52,0,0,0,0,0
3.305,0,0,0.141,0,11.288,0,1.26,0.21,0,2,0.42,0.1,0.31,0.52,1
0.278,0,0,0.123,0,3.774,0,1.01,0.16,0,1.35,0,0.16,0,0,1
0,0,0,0.016,0,24.375,0,0.09,0,0,0,0,0,0,0,1
0,0,0,0,0,1.076,0,0.79,0,0,0,0,0,0,0,0
0,0,1.71,0,0,1.947,0,0.57,0,0,0,0,0,0,0,0
0,0,0,0,4.54,3.7,0,0,0,0,0,0,0,0,0,0
0.071,0.07,0,0.131,0,3.446,0,0.52,0.22,0.22,1.87,0.67,0.22,0,0.07,1
0,0,0,0.058,0.64,1.068,0,0.32,0,0,2.56,0,0,0,0,0
0,0,0,0.353,0,1.555,2,0,0,0,2,0,0,0,0,0
0,0,0.81,0.406,2.43,1.958,0,0,0,0,0.81,0,0,0,0,0
0.041,0.06,0,0.133,0,3.29,0,0.44,0.25,0.19,2.48,0.57,0.19,0,0.06,1
0,0,9.52,0,4.76,3.333,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.8,0,0,0,0,0,0,14.28,0,0,0
0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0
0,0,0,1.081,0,2.3,0,0,0,0,0,0,0,0,0,1
0,0,0,1.284,0,1.357,0,0,1.23,0,0,0,0,0,0,1
0,0.28,0,0.13,0,7,0,1.28,0,0,0.85,0,0,0,0,1
0.031,0,0,0.252,0,3.816,0,0.36,0,0,3.27,0.09,0,0.36,0,1
0,0,2.32,0.139,0,1.515,0,0,0,0,1.16,0,0,0,0,0
0,1.96,0,0,0,6.166,0,0,0,0,1.96,0,0,0,0,1
0,0,1.09,0,0,1.969,0,0.54,0.54,0,1.09,0,0,0,0,0
0.342,0,0,0.171,0,3.809,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1.06,0,0,0,0,0
0,1.03,0,0,0,4,0,1.03,0,0,1.03,0,0,0,0,1
0.029,0.18,0,0,0,2.166,0,0.74,0.18,0,0.74,0,0.18,0,0,1
0.332,0.73,0,0.498,0,3.254,0,0,0,2.19,2.19,0.36,0.36,1.83,0.36,1
0,0,0,0,0,2.388,0,0,0,0,1.78,0,1.78,0,0,0
0,0,2.56,0,1.28,2.21,0,1.28,0,0,0,1.28,0,0,0,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.543,0,1.81,0,0,0.36,0,0,0,0.72,1
0,0,4,0.176,0,1.758,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0.68,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1.22,0,3.06,2.283,0,0,0,0,1.22,0,3.68,0,0,0
0,0,0,0,3.7,2.142,0,0,0,0,1.23,0,2.46,0,0,0
0.188,0,0,0.358,0,2.847,0,0.21,0,0,1.06,0.42,0,0,0,1
0,0,0.44,0,0,2.297,0.89,0,0,0,0.29,0,0.44,0,0.14,0
0,0.41,0,0.067,0,1.863,0,0,0.41,0,1.23,0,0,0,0,1
0,0,0,3.048,4.34,1,0,0,0,0,8.69,0,0,0,0,0
0,1.23,2.46,0.403,0,2.045,0,0,0,0,0,0,0,0,1.23,0
0,0,0,0.606,0,2.36,0,0.56,0,0,1.12,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.2,1.2,0,0,0,2.4,0,0,0,0,0
0.118,0,0.05,0.054,0,2.37,0,0.1,0,0.3,0.75,0.1,0.3,0.15,0,1
0,0,0,0.119,0,1.272,0,0.82,0,0,0,0,0,0,0.82,0
0,0,0,0,0,1.578,0,1.38,0,0,0,0,0,0,0,0
0,0,0,0.093,0,2.755,0,0.64,0.64,5.19,1.29,0,0,0,1.29,1
0,0,0,0,1.06,1.142,0,0.53,0,0,1.06,0,0,0,0,0
0,0,0,3.333,0,2.551,0,0,0,0,0,0,0,0,0,1
0,0,0.9,0.02,0.25,1.491,0,0.12,0,0,0.38,0,0,0,0.25,0
0.431,0,0,0.215,0,4,0,0,0,0,0,0,0,2.53,0,1
0,0,0.35,0.244,0.71,1.974,0,1.79,0,0,1.07,0,1.07,0,0,0
0.124,0,0.43,0,0,1.974,0,0,0,0,0.86,0,0,0,0,0
0,0.37,0,0,0,2.492,0,1.85,0,0,3.34,0,0,0,0,1
0.027,0,0,0.622,0,1.25,0,1.3,0,0,1.14,0,0,0,1.63,1
0,0,1.75,0.107,1.75,2.454,1.75,0,0,0,0,0,0,0,0,0
0,0,6.92,0.079,0,4.411,0,0,0,0,0,0,0,0,0,0
0,0,0.28,0,0,1.651,0.28,0,0,0,0,0,0,0,0,0
0,0,0.39,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0.213,0,1.75,0,0,0,0,0,0,0,0,0,0
0.37,0,0,1.975,0,35.461,0,0,0,0,2.11,0,0,0.7,0,1
0.052,0,0.55,0,0,6.894,0,0,0,0,1.65,0.55,0,0,0,0
0,0,0,0.552,0,1.461,0,1.69,0,0,1.69,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,8.69,0,0,2.125,0,0,0,0,4.34,0,0,0,0,0
0,0.38,0,0.122,0,2.08,0,0.38,0.38,0,1.94,0,0,0,0,1
0,0,0,0.591,0,3.28,0,0.38,0.38,0,1.42,0,0.09,0,0,1
0.222,0,0,1.777,0,9.727,0,0,0,0,0,1.36,0,0,0,1
0.601,0,4.76,0,1.58,3.36,0,0,0,0,0,0,0,0,0,0
1.281,0,0,0.335,0,7.202,0,0.15,0.3,0,1.34,0.57,0.46,0.5,0.42,1
0,0,0.36,0.055,0,3.176,0,0.73,0,0,0.36,0,0,0,0,0
0.08,0.14,0,0.269,0,15.086,0,0.28,0,2.31,2.02,0,0,0.14,0,1
0.128,0,0,0.064,0,2.215,0,3.98,0,0.44,1.32,0,0,0,0,1
0.061,0,1.49,0.047,0,1.686,0,0.09,0.04,0,0.65,0.04,0.04,0,0.04,0
0.053,0,1.16,0,0,1.864,0,0,0.11,0,0,0,0,0.05,0.75,1
0,0,0.33,0,0,1.87,0,0.33,0,0,0,0,0.33,0,0,0
0.111,0,0,0.111,0,1.672,0,0,0.31,0.31,1.56,0,0.62,0,0,1
0,0.64,0,0.233,0,1.136,0,0.64,1.29,0,2.59,2.59,0.64,0,0.64,1
0,0,0,0,0,4.722,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,5.3,0,0,0,0,2.43,0,0,0,0,0
0,0,1.36,0,0,2.182,0,0,0,0,0,0,0,0,0.22,0
0,0,0,0.766,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0.93,0.065,0,2,0,0,0,0,0.46,0,0,0,0,0
0.025,0,0,0.615,0,1.377,0,1.23,0,0,1.08,0,0,0,1.54,1
0.034,0.41,0,0.238,0,3.632,0,1.03,0,0,1.03,0,0.2,0,0,1
0.211,0,0,0,0,1.752,0,0.3,0,0,3.03,0,0,0,0.3,1
0,0,0,0.193,0,1.861,0,1.21,1.21,0,0,0,0,0,0,1
0,0,0,0,0,1.475,0,0,0,0,2.5,0.83,0,0,0,0
0,0,0,0,0,1.222,0,0.99,0,0,0.99,0,0,0,0,0
0,0,13.93,0,0,6.113,0,0,0,0,0.4,0,0,0,0,0
0,2.28,0,0.487,0,16.217,0,1.14,0,0,1.14,0,0.57,0,0,1
0.223,0,0.73,0.111,0,1.76,0,0,0,0,0.73,0,0,0,0,0
0,0,3.52,0.414,0,1,0,0,0,0,3.52,0,3.52,0,0,0
0.236,0,0,0.429,0,3.664,0,0.19,0.25,0.69,1.26,0.76,0.19,0.44,0.44,1
0,0,0,0,0,2.166,0,0,0,0,0,0,0,0,0,0
0.531,0.03,0,0.612,0,7.3,0,0.14,0.29,0,1.53,0.56,0.44,0.59,0.44,1
0,0,0,0.034,0,3.168,0,0.21,0,0,0,0,0,0,0,1
0,0,0,0,0,1.571,0,0,0,0,0,0,0,0,0,0
0,0,0,0.168,0,1.459,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1.8,0,0,0,0,0,0,14.28,0,0,0
