HHF,G,Y,FADA,AA,HGD,AT,E,K,T,U,I,B,W,Q,SDE
0.313,0.64,0,0.522,0,2.511,0,1.29,0,0,3.22,0,0,0.64,0.64,1
0.129,0.2,0,1.453,0,3.946,0,0.2,0.2,1.81,2.62,0.2,0,0.2,1.61,1
0,0,0,0,0,5.25,0,1.17,0,0,3.52,0,2.35,0,0,1
0,0,5.45,0,0.23,2.565,0,0,0,0,0,0,0,0,0,0
0.291,0,0,0.582,0,2.309,0,0,0.55,0,3.04,0,0,0,0.27,1
0,0,0,0,0,1.375,4.76,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.166,0,0,0,0,0,0,0,0,0,0
0,0,0.46,0.09,0,2.43,0,0.46,0,0,0.69,0.23,0,0,0.23,0
0.132,0,0,0.265,0,4.215,0,0.45,0.11,0,1.25,1.02,0.22,0.45,0.45,1
0,0,0,0,0,1,0.25,0.25,0,0,0.75,0,0,0,0,0
0,0,0,0,0,2.315,1.07,0,0,0,2.15,0,0,0,0,0
0,0,0,0,0,1.649,0.91,0.45,0,0.22,0,0,0,0,0,0
0,0,0,3.571,0,1.3,0,0.94,0,0,0,0,0,0,0,1
0,0,2.07,0.082,0,3.525,0,0.51,0,0,0,0,0,0,0,0
0,0,0.19,0.028,0,3.377,15.35,0,0,0.19,0.98,0,0.19,0,0,0
0,0,0,0,0,1.393,0,0,0,0,0,0,0,0,0,0
0,1.05,0,0.74,0,4.947,0,0,0,0,1.05,0,1.05,0,0,1
0,0,0,0,16.66,1,0,0,0,0,0,0,0,0,0,0
0,0,2.12,0,0,2.708,0,0,0,0,2.12,0,0,0,0,0
0.127,0.15,0,1.3,0,5.241,0,0.47,0.31,1.58,3.95,0.15,0,0.15,1.58,1
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1.47,1.379,0,1.47,0,0,0,0,0,0,0,0
0,0,0,0,0,1.3,1.2,0,0,0,3.61,0,0,0,0,0
0.048,0.67,0,0,0,1.204,0,0,0,0,0.67,0.33,0.67,0,0.67,1
0,0.34,0,0.215,0,6.978,0,0.68,0,0,2.38,0,0.34,0,0,1
0,0,0,0,0,2.25,0,1.78,0,0,4.46,0,0,0,0,1
0,0,4,0,2,2.705,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.8,0,0,0,0,0,0,14.28,0,0,0
0,0,0,6.387,0,1.131,0,0.36,0,0,0,0,0,0,0,0
0.185,0.53,0,0.212,0,6.815,0,0.35,0.26,0.17,1.16,0.62,0.26,0.89,0.08,1
0,0,0,0.408,0,6.187,0,0,0,0,0,0,0,0,1.69,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
0,0.26,0,0.327,0,5.549,0,0.26,0.26,0,1.05,0.52,0,0,0,1
0.15,0.44,0,0.563,0,86.65,0,1.77,0,0,3.33,0.22,0.22,0.44,0,1
0,0,0.78,0,0,2.885,0,0,0,0,0,0,0,0,0,0
0,0,1.52,0,1.52,1.836,0,0.5,0,0,1.01,0,0,0,0,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
0,0.4,0,0.11,0,1.594,0,0.4,0,0,0.4,0,0,0,0,1
0,0,0,0.273,0,5.75,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1.903,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.181,0,0,0,0,1.61,0,0,0,0,0
0,0,0,0.034,0,3.168,0,0.21,0,0,0,0,0,0,0,1
0,0,0.88,0,0,1.37,0,0,0,0,1.76,0,0,0,0.88,0
2.038,0,0.29,0,0.29,13.562,0,0.58,0,0,0.29,0,0,0,0,0
0.763,0,0,0.109,0,3,0,0,0,0,1.18,0,0,2.95,0,1
0,0,0,0.054,0,1.786,7.88,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.617,1.21,0,0.6,0,0,0,0,0,0,0
0.665,2.22,0,0,0,4.571,0,0,0,0,0,0,0,0,0,0
0.079,0,0,0.105,0,1.962,0,0,0,0.15,0,0.15,0,0.15,0,0
0.05,0,0,0.379,0,2.329,0,0.13,0,0.13,2.08,0.41,0.27,0.13,0.13,1
0,0,1.69,0,0,3.202,0,0,0,0.48,0.72,0,0,0,0.48,0
0.089,1.27,0,0.983,0,3.488,0,0,0,3.18,3.82,0,0,0,0.63,1
0,0,0,0.336,0,2.97,0.7,0,0,0,0,0,0,0,0,0
0,0,0,2.843,0,1.294,2.85,0,0,0,0,0,0,0,0,0
0,0,0,0.778,0,3.756,0,0.32,0,0,0.96,0,0.64,0,0,1
0,0,0,0,0,3.888,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3.125,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.704,1.87,0,0,0,0.62,0,0,0,0,0
0,0,0,0,0,1.3,0,0,0,0,6.66,0,0,0,0,0
0,0,0,0.353,0,1.209,0,0,0,3.18,2.12,0.35,0,0.35,0.7,1
0.437,1.07,0,0.145,0,1.823,0,0,0,0,2.15,0,0,0,0,1
0,0,0,0.055,0,1.685,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,2.35,0,0,0,0,0
0.032,0,0,0.887,0,3.446,0,0,0,0.42,1.69,0.21,0.31,0,0.31,1
0,0,1.14,0.596,0,2.133,0,0,0,0,0,0,0,0,0,0
0,0,0.19,0,0,2.204,0,0,0,0,0,0,0.19,0,0,0
0,0,0,0,0,2.276,0.61,0.15,0.3,0,1.07,0.15,0.15,0,0,0
0,0,0,0,0,1.909,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.33,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0.497,0,1.722,1.4,0,0,0,0,0,0,0,0,0
0,0,0,0.087,0,2.363,0,0,0,0,0,0,0,0,0,0
0,0,0.28,0,0,1.95,0,0.86,0.28,0,1.72,0,0.28,0,0,0
0.124,0,0,0.041,0,3.181,0,0.75,0,0,1.01,0.25,0.25,0,0.5,1
0,0,0.33,0.048,0,2.326,0,1.01,0,0,1.68,0,0,0,0,0
0,0,2.53,0,0,2.28,0,0,0,0,0,0,0,0,0,0
0,0.17,0,0.315,0,6.364,0,0.34,0.17,0.17,0.51,0,0.34,0,0,1
0.118,0.25,0,0.435,0,7.497,0.08,0.85,0.17,0.17,0.42,0.59,0.08,0.85,0.08,1
0,0,0,0,1.17,3.862,0,0,0,0,0,0,0,0,0,0
0,0,1.49,0,0,2,1.49,0,0,0,0,0,0,0,0,0
0,0,0.42,0,0,1.652,0,0,0,0,0,0,0,0,0,0
0.034,0,0.62,0,0.12,3.302,0,0,0,0,0.24,1.12,0,0,0,0
0,0,1.31,0.116,1.97,2,0,1.31,0,0,0,0,0,0,0,0
0,0,2.48,0,0,1.641,0,0.49,0,0,0,0,0,0,0,0
0.069,0.21,0.21,0,0,3.151,0,0,0,0,0.42,0,0,0,0,0
0,0,0,0.407,0,2.038,0.54,0,0,0,0.54,0,0,0,0.54,0
0,0,1.61,0,0,1.958,0,0,0,0,0,0,0,0,0,0
0,0,1.66,0,0,4.052,0,0,0,0,0,0,0,0,0,0
0,0,0,0.366,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.375,0,0,0,0,2.38,0,0,0,0,1
0,0,0.24,0,0,3.574,0,0,0,0,0.24,0,0,0,0,0
0,0,0,0.587,0,7,0,0,0,0,0,0,0,0,0,1
0,2.3,0,0.518,0,11.312,0,0,0.76,0,2.3,0,0,0,0,1
0.036,0,0.26,0,0,1.632,2.4,0,0.26,0,0,0,0,0,0,0
0,0,0,0,0,5.5,7.14,0,0,0,0,0,0,0,0,0
0.073,0,0,0.367,0,2.34,0,0,0,0,4.68,0.52,0,0,0,1
0,0,0.49,0.069,0,2.776,0,0.49,0,0,0.74,0.24,0,0,0.24,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.411,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.647,0,0,0,0,0,0,0,0,0,0
0.059,0,0.38,1.008,0,295,0,1.14,0,0.76,0,0.38,0,0,0,1
0,0,0,0,0.53,1.58,0,0,0.53,0,2.4,0.53,0,0,0,0
0,0,1.81,0.05,0,2.293,0,0.36,0,0,0,0,0,0,0.36,0
0,0,0,2.695,0,2.315,0,0,0,0,1.63,0,0,0,0,1
0.152,0.04,0,0.37,0,3.225,0,0.32,0.12,0.16,1.28,0.4,0.16,0.36,0.36,1
0,0,1.61,0,0,1.25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.142,0,0,0,0,0,0,0,0,0,0
0,0,0,1.169,0,3,0,0,0,0,0,0,0,0,0,1
0,2.25,0,0.502,0,16.304,0,1.12,0,0,1.12,0,0.56,0,0,1
0.042,0,0,0.042,0,2.351,0,1.34,0.36,0,0.73,0,0.12,0,0.24,1
0.135,0,0,0.271,0,3.257,0,0,0,0,1.58,0,0.79,0,0.79,1
0,0,0,0,0,1.8,0,0,0,0,0,0,14.28,0,0,0
0.306,0,0,0.536,0,4.653,0,1.43,0,0,1.91,0,0,0.47,0.95,1
0.396,0.2,0,0.974,0,3.163,0,0.51,0.1,0.41,1.84,1.43,0.1,0,0,1
0,0,0,0,0,1.6,0,0,0,0,2.63,0,0,0,0,0
0,1.78,0,1.344,0,5.25,0,0,0.89,0,0,0,0,0,0,1
0,0,0,0,0,1.9,0.8,0,0,0,0,0,0,0,0,0
0,0.35,0,0.061,0,2.302,0,0,0.35,2.82,2.47,0,0,0,0,1
0,0,0,0.121,0,4.035,0,2.43,0,0.81,0.81,0,0.81,0,0,1
0,0,1.65,0.02,0.13,2.78,0,0.82,0,0,1.1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1.68,0,0,1.454,0,0,0,0,0,0,0,0,0,0
0,0,0,0.169,0,2.052,0,0,0,0,0,0,1.08,0,0,0
0,0,0,0.684,0,1,0,0,0,0,0,0,0,0,0,0
0,2.23,0,0.479,0,16.739,0,1.11,0,0,1.11,0,0.55,0,0,1
0,0,1.07,0.09,0,1.825,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.3,0,0,0,0,0,0,2.12,0,0,0
0.133,0,0,0.601,0,10.578,0,0,0,0,0.4,0,0,0.8,0,1
0,0,0,0,0.67,3,0,0,0,0,0,0,0,0,0,0
0,0,0,2.362,0,3.384,0,0,0,0,1.35,0,0,0,0,1
0.09,1.16,0,0.09,0,1.829,0,2.33,0.58,1.16,2.92,0,0,0,0,1
0.022,0.13,0,0.022,0,12.454,0,0.39,0,0.26,1.44,0,0.26,0.13,0,1
0,0,9.09,0,4.54,3.1,0,0,0,0,0,0,0,0,0,0
0,0,0.51,0.079,1.54,1.711,0.51,1.54,0,0,1.03,0,0,0,0,0
0,0,0,0,0,1.666,0,0,0,0,0,0,0,0,0,0
0,0,0.56,0,1.7,1.834,0,0.56,0,0,1.13,0.28,0.28,0,0,0
0.25,0.08,0,0.444,0,3.138,0.08,0.26,0.26,0.6,1.39,0.43,0.26,0.08,0.6,1
0,0,16.66,0,0,3.333,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.17,1.551,0,1.17,0,0,0,0,0,0,0,0
0,0,0,0,0,1.8,0,0,0,0,0,0,14.28,0,0,0
0,0.13,0,0.366,0,7.138,0,0.26,0.13,0.13,0.52,0,0.26,0,0,1
0,0,0,0,0,1.095,0,0.87,0.29,0,2.91,0,0,0,0.87,1
0,0,1.81,0.225,0,1.807,0,0,0.9,0,0,0,0,0,0,0
0,0,1.78,0,1.78,2.259,0,0.89,0,0,1.78,0,0,0,0,0
0,0,0,0,0,1.8,0,0,0,0,0,0,14.28,0,0,0
0.159,0.07,0,0.159,0,3.456,0,0.51,0.07,0,1.85,0.07,0.37,0,0.14,1
0,0,0,0,0,2.823,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,3.606,0,0,0,0,0,0.91,0,0,0,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
0,0.43,0,0.395,0,7.983,0,0.43,0,0,0,0,0,0,0,1
0.152,0.5,0,0.474,0,8.55,0.1,0.8,0.3,0.2,0.7,0.8,0.2,0.6,0,1
0.26,1.08,0,1.216,0,5.454,0,0.54,0,0,1.08,0,0,1.62,0.54,1
0.403,0,0,0.672,0,2.794,0,0.77,0,0,2.32,0,0,0,0.77,1
0,0,0,0,0,1.673,0,0.83,0,0,0,0,0,0,0,0
0.073,0.38,0,0.25,0,1.764,0,0.19,0,0.06,0.7,0.06,0.12,0.19,0,1
0.267,0,0,0.468,0,3.315,0,0.96,0,0,0.48,0.48,0,0.96,0.96,1
0,0,0,0.247,0,1.684,1.44,0,0,0,0,0,0,0,0,0
0,0,0,0.396,0,3.714,0,0,0,0,6.66,3.33,0,0,3.33,1
0,0,0.39,0.128,0,1.229,0,0,0,0.39,0,0.39,0.39,0,1.18,0
0,0,0,0,0,2.391,0,0,0,0,0,0.32,0.32,0,0,1
0,0,0,0.5,0,1.538,0,0,0,0,0,0,0,0,0,0
0.162,0.33,0,0,0,2.195,0,0.99,0,0,3.3,0,0,0,0.33,1
0,0,2.69,0.026,0.77,2.894,0,0.19,0,0,0.96,0,0,0,0,0
0.169,0,0,0.01,0,1.775,0,1.59,0.06,0.24,1.1,0.06,0,0.85,0.73,1
0.106,0.52,0,0.287,0,4.742,0.06,0.39,0.06,0,1.04,1.04,0.65,0.52,0.06,1
0.013,0,2.79,0,0,3.205,0,0,0.08,0,0,0,0.08,0,0.87,0
0,0,0,0,0,1.771,0,0.93,0,0,0,0,0,0,0,0
0,0,1.4,0,0.2,2.703,0,0.2,0,0,0.2,0,0,0,0,0
0.291,0,0,0.145,0,2.95,0,0,0,0,2.22,0,0,0,0,1
0,0,0,0,0,1.5,1.38,0,0,0,0,0,0,0,0,0
0.12,0,2.66,0.013,0,2.658,0,0,0,0,0,0,0,0,0.38,0
0,0,0,0.111,0,2.133,0,2,0,0,1.33,0,2.66,0,0,1
0.336,0,0,0.112,0,2.96,0.33,0,0,0,0,0,0,0,0,1
0,0,0,4.347,0,3,0,0,0,0,0,0,0,0,0,1
0,0,1.56,0,0.93,1.945,0,0,0,0,0.31,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.888,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6.25,1.285,0,0,0,0,0,0,0,0,0,0
0,0.29,0,0.14,0,4.892,0,0.29,0.58,2.61,2.9,0,0,0,0.58,1
0.056,0,0,0.709,0,4.319,0,0.78,0.08,0,2.35,0.34,0.26,0.08,0.26,1
0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.37,1.433,0,0,0,0,0.75,0,0,0,0,0
0.316,0.19,0,0.765,0,6.652,0,0,0,0.39,1.38,1.38,0.39,0,0,1
0,0,0,0,0,1.142,0,0,0,0,0,0,0,0,0,0
0.151,0.06,0,1.06,0,4.623,0,0.13,0.33,0,0.94,0,0.4,0.53,0.06,1
0,0,0,0,0,2.45,0,1.88,0,0,0,0,0,0,0,1
0.196,0.68,0,0.056,0,2.26,0,0.68,0,0,1.37,0,0.17,0,0.34,1
0,0,0,0,1.16,1.058,0,0,0,0,0,0,1.16,0,0,0
0,0,1.11,0,0,1,0,2.22,0,0,1.11,0,0,0,0,0
0,0,0,0.217,0,1.34,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.333,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3.055,1.85,0,0,0,0,0,0,0,0,0
0.232,0.19,0,0.402,0,4.295,0,1.07,0.09,0.68,1.75,0.87,0.19,0.09,0,1
0,0,1.81,0,0,1.444,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1.21,0,0,1.21,0,0,0,0,1
0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.63,1.666,0,0,0,0,0,0,0,0,0,0
0.39,0.4,0,0.991,0,3.173,0,0.6,0.1,0.4,1.92,1.41,0.1,0,0,1
0,0,0,0.077,0,1.388,1.56,0.52,0,0,0,0,0,0,0,1
0,0,0,0,1.88,1.307,0,0,0,0,1.88,0,0,0,0,0
0,0.51,0,0.18,0,1.773,0,0.51,0,0,1.03,0,0,0,1.03,1
0,0,0,0.523,0,1.218,0,0,0.68,0,0.68,0.68,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0
0,0,7.2,0,0,4.054,0,0,0,0,0,0,0,0,0,0
0,0,0,2.205,0,3.184,0,0,0,0,1.32,0,0,0,1.32,1
0.01,0,0.47,0,0.03,3.233,0,0.1,0,0,0.1,0.4,0.03,0,0,0
0,0,0,0,0,1.578,0,0,0,0,0,0,0,0,0,0
0,0,0,0.054,0,2.16,0,0,0,0,0.32,0,0,0,0,0
0,0,0,0,0,1.863,0,1.43,0,0,0,0,0,0,0,0
0,0,0,0.034,0,16.587,0,0.16,0.02,0,0.02,0,0,0,0,1
0,0,16.66,0,0,3.125,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.47,4.308,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,2.481,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3.925,0,0,0,0,0,0,0,0,0,1
0,0,0,1.149,0,1.461,0,1.03,0,0,0,0,0,0,2.06,1
0,0,0,0.145,0,1.342,0,1.5,0.5,0,3,0,0,0,0,0
0,0,0,0,0,1.645,0.57,0,0,0,2.89,0,0,0,0,0
0.014,0,0.49,0,0.05,3.715,0,0,0,0,0.1,0.49,0,0,0.38,0
0,0,0,0,25,1.25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.857,0,0,0,0,0.53,0,0,0,0,0
0,0,0,0,0,2.344,0.97,0,0,0,0.97,0,0,0,0,0
0,0.49,0,0.862,0,12.148,0,0,0,0,0,0,0,0,0,1
0,1.63,0,0,0,1.2,0,0,0,0,3.27,0,1.63,0,0,1
0.114,0.25,0,0.42,0,7.497,0.08,0.85,0.17,0.17,0.42,0.59,0.08,0.85,0.08,1
0,0,2.8,0,1.86,2.097,0,0,0,0,0,0,1.86,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0.267,0,0,0.401,0,3.459,0,0.95,0,0,0.47,0.47,0,0.95,0.95,1
0.857,0,0,0,0,2.918,0.92,0,0,0,1.85,0,0,0,0,0
0,0,0,2.112,0,3.909,0,0,0,0,0,0,0,0,0,1
0,0,1.39,0,0,2.566,0.19,0.59,0,0,0.19,0,0,0,0,0
0,0,0.86,0.146,0,1.341,0,0,0,0,0.43,0,0,0,0,0
0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.46,251,0,0,0,0,0,0,0,0,0,0
0.132,0,0,0.265,0,4.215,0,0.45,0.11,0,1.25,1.02,0.22,0.45,0.45,1
0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0
0,0,0,0.649,0,5.875,0,0,0,6.32,0,0,0,0,0,1
0,0,0.34,0,1.02,1.421,0,0.34,0,0,0,0,0,0,0.34,0
0.3,0.63,0,0.501,0,2.458,0,1.27,0,0,2.54,0,0,0.63,0.63,1
0,0,0.36,0.107,0,2.988,0,0.72,0,0,0.36,0,0,0,0,0
0,0,0,0.276,0,1.104,0,0.38,0,0,0.38,0,0,0,0,0
0.254,0.08,0,0.353,0,3.591,0.08,0.26,0.26,0.26,1.24,0.53,0.26,0.08,0.44,1
0,0,0,0,0,1.344,0,0,0,0,0,0,0,0,0,0
0,0,1.9,0,0,2.174,0,0,0.14,0,0.43,0,0,0,0.58,0
0,0,0,0,0,2.827,0.54,0,0,0,1.63,0,0,0,0,0
0.63,0,1.69,0,1.69,3.083,0,0,0,0,1.69,0,0,0,0,0
0,0,0,0.174,0,2.071,0.33,0,0,0,0.33,0,0,0.33,0,0
0.294,0.08,0,0.261,0,3.282,0,0.08,0.34,0,0.94,0.08,0.42,0.34,0,1
0,0,0,0,0,1.714,0,0,0,0,0,0,0,0,0,0
0.118,0,0,0.653,0,1.53,0,0.36,0,0,4.04,0.36,0,0,0.73,1
0,0,0,0,0,5.888,0,0,2,0,8,0,0,0,0,0
0,0,0,0,0,1.333,0,2.17,0,0,2.17,0,0,0,0,1
0,0,0,0.331,0,1.842,0,0,0,0,0,0,0,0,0,0
0.038,0,0,0,0,1.642,4.34,0,0,0,0.51,0,0,0,0.25,0
0.215,1.26,0,0,0,3.529,0,1.26,0,0,1.26,0,0,0,0,1
0.121,0,0,0.145,0,3.575,0,2.04,0.32,0,1.81,0.09,0.09,0.04,0.32,1
0,0,0,0,5.88,2.285,5.88,0,0,0,0,0,0,0,0,0
0,0,0,0.656,0,1.488,0,0,0,0,1.09,0,0,0,0,0
0.213,0,0,0.426,0,4.6,0,0,0,0,0,0,0,0,0,1
0.118,0,0,0.356,0,2.315,0,0.67,0,0,0.67,0,0,0,0,1
0,0,0,0,0,4.368,0,0,0,0,0,0,0,0,0,0
0.128,0,0,0.153,0,2.686,0,0,0.14,0.14,0.88,1.03,0.14,0,0,1
0,0,0,0,0,1.1,0,0,0,18.18,0,0,0,0,0,1
0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,1
0.165,0.49,0,0.497,0,5.113,0,1.48,0,0,2.97,0,0,0,0.99,1
0,0,0,0,2.12,3,0,0,0,0,0,0,0,0,0,0
0,0,0.19,0,0,2.217,0,0,0,0,0,0,0.19,0,0,0
0,0,0,0.275,0,1.625,0,0,0,0,3.9,0,0.78,0,0,0
0,0,2.17,0,0,4.208,0,0,0,0,0,0,0,0,0,0
0,0,0,3.79,0,4.833,0,0,0,0,0,0,0,1.85,0,1
0,0,0,0.699,0,9.2,0,0,0,5.33,1.33,0,0,0,0,1
0.094,0,2.08,0.284,0,2,0,0.69,0,0,0,0,0,0,0,0
0,0,1.81,0,0,1.3,0,1.81,0,0,0,0,0,0,0,0
0.049,0.62,0,0.247,0,3.732,0,0,0,0,0.31,0,0,0,0,0
0.167,0.06,0,0.01,0,1.733,0,1.57,0.06,0.24,1.15,0.06,0,0.84,0.72,1
0,0,0,0,0.47,4.268,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0.558,0,2,0,0,0,0,0,0,0,0,0,0
0,0,5.52,0,1.22,3.682,0,0,0,0,0,0,0,0,0,0
0,0,1.49,0,0,3.5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4.34,3.5,0,0,0,0,0,0,0,0,0,0
0.132,0.59,0,0.044,0,1.592,0.29,0.29,0.29,0,1.49,0,0,0,0,0
0,0,4.51,0.129,3.22,2.142,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,1.125,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.888,0,0,0,0,0,0,0,0,0,0
0,0,0,0.181,1.05,2,0,1.05,0,0,0,0,0,0,0,0
0,0,0,0.663,0,1.428,0,0.46,0,0,0.93,0,0,0,0,1
0,0,8.69,0,4.34,3.333,0,0,0,0,0,0,0,0,0,0
0.017,0,0.02,0.107,0,3.922,0,0.02,0,0.2,0.17,0,0.02,0,0.1,1
0,0,1.01,0.502,5.55,1.547,0,0.5,0,0,0,0,0,0,0,0
0,0,0,0.324,0,1.12,0,0.35,0,0,0.35,0,0,0,0,0
0,0,0,0,0,1.866,0,0,0,0,1.16,0,0,0,0,0
0,0,0,0,2.12,1.133,0,0,0,0,0,0,0,0,0,0
0,0,0,3.225,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
0.113,0,0.36,0.963,0,2.622,0,1.45,0,1.81,0.72,0,0,0,0,1
0,0,0.25,0.207,0,10.409,0,0,0.77,0,0.51,0,0.25,0,0,0
0,0,2.93,0.014,0,4.325,0,0.4,0.3,0.3,0.5,0,0,0,0.1,0
0,0,0,0,0,2.105,0,0,0,0,0,0,1.28,0,0,0
0,0,0,0.952,0,3.2,0,0,0,0,0,0,0,0,0,0
